City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Neyshabur,IR,2022-10-02 23:01:47,36.2133,58.7958,57.54,30,0,1.03
219,Saldanha,ZA,2022-10-02 23:01:48,-33.0117,17.9442,57.11,82,2,1.77
220,Sassandra,CI,2022-10-02 23:01:48,4.95,-6.0833,74.08,95,88,4.68
221,Kununurra,AU,2022-10-02 23:01:49,-15.7667,128.7333,76.98,78,76,1.14
222,Santiago De Cao,PE,2022-10-02 23:01:49,-7.9589,-79.2392,62.69,85,34,11.99
223,Rudnogorsk,RU,2022-10-02 23:01:49,57.2639,103.7519,26.71,92,100,7.34
224,Turukhansk,RU,2022-10-02 23:01:50,65.8167,87.9833,28.56,82,99,8.48
225,Koumac,NC,2022-10-02 23:01:50,-20.5667,164.2833,75.42,62,99,10.58
226,Pilar Do Sul,BR,2022-10-02 23:02:50,-23.8131,-47.7164,60.49,95,32,9.26
227,Guerrero Negro,MX,2022-10-02 23:02:50,27.9769,-114.0611,72.3,65,0,15.48
228,Archidona,ES,2022-10-02 23:02:51,37.0965,-4.3887,68.92,42,100,5.21
229,Kutum,SD,2022-10-02 23:02:51,14.2,24.6667,80.83,38,96,5.77
230,San Joaquin,US,2022-10-02 23:02:51,37.9333,-121.3011,82.54,40,0,11.5
231,Ancud,CL,2022-10-02 23:02:52,-41.8697,-73.8203,51.24,76,100,5.99
232,Edremit,TR,2022-10-02 23:02:52,39.5961,27.0244,62.8,59,0,7.09
233,Broome,US,2022-10-02 23:02:52,42.2506,-75.833,55.71,78,0,6.91
234,Edd,ER,2022-10-02 23:02:52,13.9297,41.6925,89.31,58,93,2.89
235,Nuuk,GL,2022-10-02 23:02:53,64.1835,-51.7216,36.21,64,20,4.61
236,Porto Novo,BJ,2022-10-02 23:02:53,6.4965,2.6036,75.9,88,95,2.01
237,Rifu,JP,2022-10-02 23:02:53,38.3236,140.9744,68.88,79,91,3.74
238,Bolshoye Murashkino,RU,2022-10-02 23:02:54,55.7826,44.7754,57.96,94,100,10.94
239,Sept-Iles,CA,2022-10-02 23:02:54,50.2001,-66.3821,45.05,57,34,1.99
240,Rumonge,BI,2022-10-02 23:02:54,-3.9736,29.4386,74.57,65,81,4.88
241,Araouane,ML,2022-10-02 23:02:54,18.9048,-3.5265,93.18,28,9,5.3
242,Ormara,PK,2022-10-02 23:02:55,25.2088,64.6357,79.29,82,14,8.59
243,Dunmore Town,BS,2022-10-02 23:02:55,25.5,-76.65,82.31,72,5,8.01
244,Fairbanks,US,2022-10-02 23:00:04,64.8378,-147.7164,44.6,91,100,2.15
245,Lodwar,KE,2022-10-02 23:02:21,3.1191,35.5973,83.1,38,80,7.63
246,Port Elizabeth,ZA,2022-10-02 23:01:25,-33.918,25.5701,64.31,94,19,4.0
247,Northam,GB,2022-10-02 23:02:55,51.0333,-4.2167,51.39,78,100,2.42
248,Bandarbeyla,SO,2022-10-02 23:02:56,9.4942,50.8122,77.07,81,100,23.35
249,Amapa,BR,2022-10-02 23:02:56,1.0,-52.0,80.31,58,69,5.3
250,Clyde River,CA,2022-10-02 23:00:32,70.4692,-68.5914,30.43,74,100,4.61
251,Middelburg,ZA,2022-10-02 23:02:57,-25.7751,29.4648,67.89,43,0,7.14
252,Basco,PH,2022-10-02 23:02:57,20.4487,121.9702,83.62,75,93,17.83
253,Yangambi,CD,2022-10-02 23:02:57,0.8102,24.4336,69.67,99,100,1.81
254,Codrington,AU,2022-10-02 23:00:27,-38.2667,141.9667,56.5,73,100,3.33
255,Port Lincoln,AU,2022-10-02 23:02:58,-34.7333,135.8667,62.73,63,100,13.38
256,Port Keats,AU,2022-10-02 23:02:58,-14.25,129.55,82.72,56,8,0.43
257,Nizwa,OM,2022-10-02 23:02:58,22.9333,57.5333,77.38,70,33,3.02
258,Hobyo,SO,2022-10-02 23:02:59,5.3505,48.5268,76.35,87,97,21.79
259,Rudnaya Pristan,RU,2022-10-02 23:02:59,44.3614,135.8116,58.64,86,95,1.92
260,Arman,RU,2022-10-02 23:02:59,59.7,150.1667,35.02,51,100,8.48
261,Plettenberg Bay,ZA,2022-10-02 23:03:00,-34.0527,23.3716,59.41,77,0,10.07
262,Pinega,RU,2022-10-02 23:03:00,64.7001,43.3936,39.09,97,100,4.43
