City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,Abu Samrah,35.3029,37.1841,74.62,49,25,8.19,SY,2022-10-02 21:57:36
188,Itoman,26.1247,127.6694,80.62,78,20,4.61,JP,2022-10-02 22:02:15
189,Kasongo,-4.45,26.6667,69.55,93,99,4.61,CD,2022-10-02 22:02:15
190,Madang,-5.2246,145.7966,78.62,89,45,2.42,PG,2022-10-02 22:02:15
191,Masinigudi,11.5667,76.6667,67.6,88,100,3.62,IN,2022-10-02 22:02:16
192,Sobolevo,54.4299,31.8996,46.92,96,100,18.54,RU,2022-10-02 22:02:16
193,Rafaela,-31.2503,-61.4867,75.99,24,0,1.01,AR,2022-10-02 22:02:16
194,West Milford,41.1312,-74.3674,55.8,76,100,1.01,US,2022-10-02 22:02:17
195,Tura,25.5198,90.2201,72.97,97,100,2.77,IN,2022-10-02 22:02:17
196,Mahebourg,-20.4081,57.7,71.26,73,20,10.36,MU,2022-10-02 22:02:17
197,Meulaboh,4.1363,96.1285,75.76,86,98,2.59,ID,2022-10-02 22:02:18
198,Alofi,-19.0595,-169.9187,76.08,65,74,17.58,NU,2022-10-02 22:02:18
199,Severomuysk,56.1481,113.4267,9.23,92,93,4.43,RU,2022-10-02 22:02:18
200,Talnakh,69.4865,88.3972,31.21,94,83,10.36,RU,2022-10-02 22:02:19
201,Sirsi,14.6167,74.85,68.94,98,100,3.65,IN,2022-10-02 22:02:19
202,Sola,-13.8833,167.55,80.2,75,7,9.06,VU,2022-10-02 22:00:23
203,Dawei,14.0833,98.2,75.63,92,100,3.0,MM,2022-10-02 22:02:19
204,Kropotkin,45.4375,40.5756,69.12,70,99,15.21,RU,2022-10-02 22:02:20
205,Kieta,-6.2167,155.6333,83.07,70,24,3.24,PG,2022-10-02 22:02:20
206,Alto Araguaia,-17.3147,-53.2153,72.88,78,85,4.12,BR,2022-10-02 22:02:21
207,Springfield,37.2153,-93.2982,81.66,29,0,8.05,US,2022-10-02 22:00:49
208,Hami,42.8,93.45,41.56,19,2,4.38,CN,2022-10-02 22:02:21
209,Ballina,-28.8667,153.5667,60.01,86,77,8.12,AU,2022-10-02 22:02:21
210,Boa Vista,2.8197,-60.6733,76.98,83,20,3.44,BR,2022-10-02 21:58:44
211,Pyaozerskiy,65.8333,31.1667,41.4,97,94,4.52,RU,2022-10-02 22:02:22
212,Nouadhibou,20.931,-17.0347,72.77,79,0,14.72,MR,2022-10-02 22:02:22
213,Kavaratti,10.5669,72.642,79.65,82,100,12.08,IN,2022-10-02 22:02:23
214,Hualmay,-11.0964,-77.6139,64.99,76,54,9.24,PE,2022-10-02 22:02:23
215,Oranjemund,-28.55,16.4333,57.02,91,0,7.36,NA,2022-10-02 21:59:40
216,Coahuayana,18.7333,-103.6833,78.76,89,98,3.85,MX,2022-10-02 22:02:23
217,Marsabit,2.3284,37.9899,67.64,50,94,23.06,KE,2022-10-02 22:02:24
