,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Bulawayo,ZW,-20.15,28.5833,61.03,40,0,4.92,clear sky
211,Estevan,CA,49.1334,-102.9842,44.94,56,29,4.88,scattered clouds
212,Birjand,IR,32.8663,59.2211,59.47,23,0,6.91,clear sky
213,Guhagar,IN,17.4842,73.1929,79.74,81,69,6.02,broken clouds
214,Faanui,PF,-16.4833,-151.75,79.0,73,2,15.28,clear sky
215,Praia,CV,14.9215,-23.5087,79.34,73,75,13.8,broken clouds
216,Hay River,CA,60.8156,-115.7999,39.18,87,20,2.3,few clouds
217,Beloha,MG,-25.1667,45.05,70.7,56,0,4.29,clear sky
218,Bonthe,SL,7.5264,-12.505,75.15,92,100,6.8,overcast clouds
219,Marsa Matruh,EG,31.3525,27.2453,76.08,60,0,13.49,clear sky
220,Salalah,OM,17.0151,54.0924,78.71,79,60,4.18,broken clouds
221,The Pas,CA,53.8251,-101.2541,55.42,82,0,9.22,clear sky
222,Brae,GB,60.3964,-1.353,53.49,94,75,15.84,broken clouds
223,Marawi,PH,7.9986,124.2928,79.07,76,100,1.19,overcast clouds
224,Mahebourg,MU,-20.4081,57.7,74.25,64,20,13.8,few clouds
225,Garden City,US,42.3256,-83.331,49.95,79,0,4.61,clear sky
226,Constitucion,CL,-35.3333,-72.4167,50.07,91,91,3.8,overcast clouds
227,Kasongo-Lunda,CD,-6.4667,16.8167,68.49,98,86,1.54,overcast clouds
228,Carutapera,BR,-1.195,-46.02,78.89,78,15,8.1,few clouds
229,Loukhi,RU,66.0764,33.0381,39.92,97,76,5.08,broken clouds
230,Alofi,NU,-19.0595,-169.9187,76.89,69,20,13.8,few clouds
231,Miri,MY,4.4148,114.0089,82.54,78,40,5.75,scattered clouds
232,Ponta Do Sol,PT,32.6667,-17.1,68.72,73,3,1.19,clear sky
233,Chapais,CA,49.7834,-74.8492,26.38,74,14,4.45,few clouds
234,Bida,NG,9.0833,6.0167,73.24,95,92,1.63,overcast clouds
235,Yambio,SS,4.5721,28.3955,65.86,99,100,5.5,light rain
236,Inhambane,MZ,-23.865,35.3833,62.58,94,20,0.0,few clouds
237,Taree,AU,-31.9,152.4667,68.05,62,84,6.08,broken clouds
238,Xuddur,SO,4.1213,43.8894,70.52,72,68,15.32,broken clouds
239,Debre Tabor,ET,11.85,38.0167,53.19,83,95,2.95,overcast clouds
240,Bilma,NE,18.6853,12.9164,83.48,15,0,7.16,clear sky
241,Uberaba,BR,-19.7483,-47.9319,72.18,68,0,4.61,clear sky
242,Wakefield,GB,53.6809,-1.499,53.8,93,100,3.13,overcast clouds
243,Fort Nelson,CA,58.8053,-122.7002,40.59,65,75,4.61,broken clouds
244,Singapore,SG,1.2897,103.8501,89.74,70,75,8.05,broken clouds
245,Stromness,GB,58.965,-3.296,53.87,84,34,8.99,scattered clouds
246,Geraldton,AU,-28.7667,114.6,73.81,35,1,5.75,clear sky
247,Provideniya,RU,64.3833,-173.3,39.36,81,40,15.99,scattered clouds
248,George Town,MY,5.4112,100.3354,87.73,71,20,8.05,few clouds
249,Saint-Philippe,RE,-21.3585,55.7679,74.79,75,22,11.48,few clouds
250,Upernavik,GL,72.7868,-56.1549,19.09,87,40,8.32,scattered clouds
251,Lebu,CL,-37.6167,-73.65,50.11,84,100,3.24,overcast clouds
252,Hovd,MN,48.0056,91.6419,30.4,29,0,3.91,clear sky
253,Gamba,GA,-2.65,10.0,75.2,89,100,3.85,light rain
254,Thohoyandou,ZA,-22.9456,30.485,66.56,52,0,1.81,clear sky
255,Tezu,IN,27.9167,96.1667,87.67,59,82,3.33,broken clouds
256,Gat,IL,31.61,34.7642,76.41,66,0,5.77,clear sky
257,Ust-Kulom,RU,61.6864,53.6902,51.89,92,100,8.21,overcast clouds
258,Tilichiki,RU,60.4667,166.1,39.09,65,89,8.99,overcast clouds
259,Ribeira Grande,PT,38.5167,-28.7,71.01,87,17,6.35,light rain
260,Ahipara,NZ,-35.1667,173.1667,59.29,90,72,12.26,broken clouds
261,Sao Filipe,CV,14.8961,-24.4956,77.45,74,60,9.4,broken clouds
262,Mmabatho,ZA,-25.85,25.6333,60.76,48,0,3.44,clear sky
263,Kaeo,NZ,-35.1,173.7833,65.32,82,60,9.55,broken clouds
264,Devils Lake,US,48.1128,-98.8651,58.95,80,0,6.91,clear sky
265,Pitimbu,BR,-7.4706,-34.8086,72.19,76,2,9.98,clear sky
266,Nelson Bay,AU,-32.7167,152.15,67.08,60,56,5.01,broken clouds
267,Hamilton,US,39.1834,-84.5333,56.25,73,0,16.11,clear sky
268,Itarema,BR,-2.9248,-39.9167,77.25,79,8,16.33,clear sky
269,Cross Lanes,US,38.4204,-81.7907,54.86,95,40,0.0,scattered clouds
